
Resultados por comunidades y ciudades autónomas
Formación Bruta de Capital Fijo por comunidades y ciudades autónomas, ramas de actividad y periodo.
Unidades: miles de euros y porcentajes

,2007 (P),2006,2005,2004,2003,2002,2001,2000,
    FF  Construcción,792.685,589.458,518.214,336.773,312.071,293.167,255.792,263.427,
    Servicios,14.231.659,11.955.991,9.572.209,7.164.729,6.096.256,5.430.723,4.605.909,4.203.894,
    GG  Comercio y reparación,529.200,496.998,474.428,502.211,399.680,359.243,344.726,331.006,
    HH  Hostelería,182.194,175.960,149.789,157.185,144.169,141.827,135.436,113.647,
    II  Transporte y comunicaciones,1.121.408,1.003.957,1.654.518,1.425.828,840.557,738.869,644.493,674.375,
    JJ  Intermediación financiera,136.507,283.981,175.747,159.348,134.393,101.304,114.670,78.134,
    KK  Inmobiliarias y servicios empresariales,9.665.035,7.752.299,5.204.821,3.819.103,3.040.359,2.481.675,2.042.635,1.837.307,
    LL  Administración pública,1.299.630,1.013.047,1.033.842,336.905,831.170,870.649,726.346,655.728,
    MM  Educación,247.291,241.490,167.505,158.368,164.656,178.248,148.977,131.204,
    NN  Actividades sanitarias y veterinarias servicios sociales,403.200,336.490,239.354,228.502,161.489,221.219,109.449,86.169,
    OO  Otros servicios y actividades sociales servicios personales,647.194,651.769,472.205,377.279,379.783,337.689,339.177,296.324,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,17.218.991,14.616.140,11.971.870,9.287.142,7.764.835,7.039.496,6.146.204,5.728.075,
Cataluña,
    FORMACIÓN BRUTA DE CAPITAL FIJO,54.469.835,50.165.048,45.358.601,41.326.319,38.270.308,34.575.613,32.285.063,30.413.990,
    Agricultura, ganadería y pesca,388.999,394.908,399.302,431.600,397.282,403.899,357.464,354.812,
    AA  Agricultura, ganadería, caza y selvicultura,383.247,388.290,392.510,425.409,391.144,397.643,351.543,350.725,
    BB  Pesca,5.752,6.618,6.792,6.191,6.138,6.256,5.921,4.087,
    Energía,2.284.867,2.196.056,1.791.500,1.535.210,1.300.909,1.347.054,1.132.030,1.036.062,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,282.858,331.073,295.187,159.744,210.468,215.259,212.414,177.621,
    EE  Energía eléctrica, gas y agua,2.002.009,1.864.983,1.496.313,1.375.466,1.090.441,1.131.795,919.616,858.441,
    Industria,5.728.558,5.727.907,5.022.162,5.554.675,5.600.764,5.445.348,5.505.069,5.263.436,
    Construcción,2.093.288,2.030.025,1.725.470,1.201.766,1.100.731,988.953,880.477,885.604,
    FF  Construcción,2.093.288,2.030.025,1.725.470,1.201.766,1.100.731,988.953,880.477,885.604,
    Servicios,43.974.123,39.816.152,36.420.167,32.603.068,29.870.622,26.390.359,24.410.023,22.874.076,
    GG  Comercio y reparación,3.695.448,3.254.062,3.134.845,3.481.941,2.860.019,2.628.469,2.409.575,2.342.685,
    HH  Hostelería,1.373.567,1.249.191,1.163.728,1.206.125,1.102.840,1.018.984,896.417,815.917,
    II  Transporte y comunicaciones,6.114.068,5.187.844,5.043.858,4.137.573,4.467.815,4.336.918,4.230.641,4.154.048,
    JJ  Intermediación financiera,545.094,1.107.285,692.594,845.352,656.027,506.893,689.847,500.226,
    KK  Inmobiliarias y servicios empresariales,22.368.351,20.614.873,19.323.055,16.566.493,14.342.024,12.517.954,11.533.870,10.672.286,
    LL  Administración pública,4.207.871,2.913.392,2.905.853,2.634.781,2.898.483,2.303.863,1.886.130,1.784.513,
    MM  Educación,1.133.874,1.119.030,994.571,883.435,821.320,784.760,652.588,615.329,
    NN  Actividades sanitarias y veterinarias servicios sociales,1.531.925,1.342.577,944.727,861.097,741.154,609.269,570.588,540.104,
    OO  Otros servicios y actividades sociales servicios personales,3.003.925,3.027.898,2.216.936,1.986.271,1.980.940,1.683.249,1.540.367,1.448.968,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,54.469.835,50.165.048,45.358.601,41.326.319,38.270.308,34.575.613,32.285.063,30.413.990,
Comunitat Valenciana,
    FORMACIÓN BRUTA DE CAPITAL FIJO,32.955.417,30.527.236,26.486.606,23.797.685,21.484.621,18.810.617,16.965.069,15.016.098,
    Agricultura, ganadería y pesca,368.527,377.071,365.495,380.867,349.328,333.351,339.755,318.372,
    AA  Agricultura, ganadería, caza y selvicultura,357.843,363.824,352.875,368.102,336.996,320.657,327.362,309.664,
    BB  Pesca,10.684,13.247,12.620,12.765,12.332,12.694,12.393,8.708,
    Energía,865.631,1.077.704,648.492,836.498,555.012,633.200,521.449,459.749,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,70.665,129.597,57.609,269.414,98.609,95.187,84.865,78.884,
    EE  Energía eléctrica, gas y agua,794.966,948.107,590.883,567.084,456.403,538.013,436.584,380.865,
    Industria,2.595.174,2.166.138,2.206.239,2.673.938,2.583.542,2.613.237,2.618.704,2.408.187,
    Construcción,1.287.358,1.122.127,912.798,768.394,692.971,549.022,547.850,527.565,
    FF  Construcción,1.287.358,1.122.127,912.798,768.394,692.971,549.022,547.850,527.565,
    Servicios,27.838.727,25.784.196,22.353.582,19.137.988,17.303.768,14.681.807,12.937.311,11.302.225,
    GG  Comercio y reparación,1.655.993,1.460.794,1.487.899,1.510.463,1.224.201,1.113.539,1.024.219,968.359,
    HH  Hostelería,731.724,726.384,636.369,611.566,559.436,539.846,480.437,411.613,
    II  Transporte y comunicaciones,3.106.099,2.482.351,2.147.107,1.732.220,1.541.254,1.502.890,1.438.894,1.430.607,
    JJ  Intermediación financiera,296.403,731.002,406.461,447.037,396.592,244.896,331.996,240.741,
    KK  Inmobiliarias y servicios empresariales,16.619.891,15.716.453,13.788.841,10.898.745,9.305.434,7.760.637,6.635.952,5.466.871,
    LL  Administración pública,2.303.984,1.756.152,1.656.723,1.868.025,2.256.973,1.763.104,1.571.592,1.440.977,
    MM  Educación,514.143,457.424,446.194,598.980,609.750,478.754,326.323,322.467,
    NN  Actividades sanitarias y veterinarias servicios sociales,759.712,684.462,466.634,384.624,310.028,296.457,287.029,268.410,
    OO  Otros servicios y actividades sociales servicios personales,1.850.778,1.769.174,1.317.354,1.086.328,1.100.100,981.684,840.869,752.180,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,32.955.417,30.527.236,26.486.606,23.797.685,21.484.621,18.810.617,16.965.069,15.016.098,
Extremadura,
    FORMACIÓN BRUTA DE CAPITAL FIJO,5.743.087,5.468.712,4.838.498,4.417.482,4.010.376,3.565.247,3.228.302,3.093.748,
    Agricultura, ganadería y pesca,143.448,138.113,170.839,173.438,158.295,156.989,143.358,152.938,
    AA  Agricultura, ganadería, caza y selvicultura,..,..,..,..,..,..,..,..,
    BB  Pesca,..,..,..,..,..,..,..,..,
    Energía,170.071,197.348,159.412,158.263,113.734,120.485,115.797,118.547,
    CA+CB+DF  Extracción de productos energéticos, extracción otros minerales, coquerías, refino y combustibles nucleares,20.656,25.973,14.939,9.919,13.091,12.611,8.812,7.102,
    EE  Energía eléctrica, gas y agua,149.415,171.375,144.473,148.344,100.643,107.874,106.985,111.445,
    Industria,328.540,246.961,245.988,248.825,235.216,227.983,231.547,210.022,
    Construcción,219.313,216.559,163.547,136.399,124.350,116.878,118.510,123.209,
    FF  Construcción,219.313,216.559,163.547,136.399,124.350,116.878,118.510,123.209,
    Servicios,4.881.715,4.669.731,4.098.712,3.700.557,3.378.781,2.942.912,2.619.090,2.489.032,
    GG  Comercio y reparación,393.162,342.265,344.568,363.434,309.463,286.769,259.011,265.118,
    HH  Hostelería,48.491,46.599,43.230,48.461,39.947,36.388,32.197,26.591,
    II  Transporte y comunicaciones,507.433,430.044,432.044,323.287,334.605,326.616,345.366,363.009,
    JJ  Intermediación financiera,57.589,113.185,78.854,75.448,73.215,50.034,71.813,64.654,
    KK  Inmobiliarias y servicios empresariales,2.398.159,2.256.065,2.061.485,1.918.598,1.626.441,1.336.879,1.168.718,1.052.253,
    LL  Administración pública,875.029,905.292,741.035,631.786,664.653,541.417,448.374,458.339,
    MM  Educación,98.058,95.851,62.574,62.138,62.863,61.349,70.503,51.137,
    NN  Actividades sanitarias y veterinarias servicios sociales,186.903,165.647,107.590,90.055,75.220,132.349,52.277,44.510,
    OO  Otros servicios y actividades sociales servicios personales,316.891,314.783,227.332,187.350,192.374,171.111,170.831,163.421,
    PP  Hogares que emplean personal doméstico,0,0,0,0,0,0,0,0,
    FORMACIÓN BRUTA DE CAPITAL FIJO,5.743.087,5.468.712,4.838.498,4.417.482,4.010.376,3.565.247,3.228.302,3.093.748,
Galicia,
    FORMACIÓN BRUTA DE CAPITAL FIJO,17.320.232,16.046.144,13.877.651,12.201.623,10.626.310,9.575.880,8.991.506,8.256.160,
    Agricultura, ganadería y pesca,320.773,315.872,348.396,312.228,301.889,285.378,266.965,239.537,
    AA  Agricultura, ganadería, caza y selvicultura,261.354,244.172,273.878,236.374,217.198,205.518,190.027,182.244,
    BB  Pesca,59.419,71.700,74.518,75.854,84.691,79.860,76.938,57.293,
    Energía,498.991,742.259,596.579,541.110,327.594,372.003,306.312,283.784,
